"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AMBUJACEM","EQ","14-Jul-2021","        368.95","        370.95","        375.85","        368.10","        373.05","        373.00","        372.19","    4877918","          1815494057.15","      51208","    2369047","         48.57"
"AMBUJACEM","EQ","15-Jul-2021","        373.00","        374.00","        389.00","        373.70","        387.55","        386.20","        381.43","    7207046","          2748949995.35","      88579","    2746602","         38.11"
"AMBUJACEM","EQ","16-Jul-2021","        386.20","        387.45","        387.70","        381.70","        384.00","        383.05","        383.86","    3141218","          1205785597.70","      78492","    1325852","         42.21"
"AMBUJACEM","EQ","19-Jul-2021","        383.05","        382.30","        388.35","        380.40","        387.95","        386.55","        383.71","    3708612","          1423025782.25","      51056","    1861304","         50.19"
"AMBUJACEM","EQ","20-Jul-2021","        386.55","        391.00","        408.90","        387.65","        403.60","        404.45","        400.16","   16347083","          6541473135.85","     164780","    2136743","         13.07"
"AMBUJACEM","EQ","22-Jul-2021","        404.45","        407.25","        407.25","        398.10","        400.50","        400.20","        401.21","    4093799","          1642483905.80","      53786","    1704021","         41.62"
"AMBUJACEM","EQ","23-Jul-2021","        400.20","        403.25","        409.50","        400.50","        402.80","        402.30","        405.37","    7785242","          3155868932.40","     121907","    2339154","         30.05"
"AMBUJACEM","EQ","26-Jul-2021","        402.30","        402.50","        409.50","        390.95","        408.05","        408.10","        402.23","    8586195","          3453663657.60","     104742","    2373412","         27.64"
"AMBUJACEM","EQ","27-Jul-2021","        408.10","        408.85","        414.00","        401.55","        408.80","        408.80","        408.80","    7469960","          3053724800.25","      83572","    1882705","         25.20"
"AMBUJACEM","EQ","28-Jul-2021","        408.80","        410.45","        411.70","        402.95","        409.25","        409.40","        407.83","    3242782","          1322493739.35","      40864","    1064786","         32.84"
"AMBUJACEM","EQ","29-Jul-2021","        409.40","        411.40","        413.20","        405.05","        408.20","        408.75","        408.66","    3312853","          1353823618.40","      46207","     943262","         28.47"
"AMBUJACEM","EQ","30-Jul-2021","        408.75","        411.80","        415.35","        406.00","        412.00","        411.15","        411.26","    2700828","          1110735163.80","      35152","     955967","         35.40"
"AMBUJACEM","EQ","02-Aug-2021","        411.15","        412.00","        419.95","        410.45","        419.25","        418.10","        416.18","    2758639","          1148096506.40","      39734","     783484","         28.40"
"AMBUJACEM","EQ","03-Aug-2021","        418.10","        420.85","        423.05","        414.60","        421.60","        422.20","        419.50","    2912201","          1221672453.10","      52718","     955502","         32.81"
"AMBUJACEM","EQ","04-Aug-2021","        422.20","        424.50","        427.40","        418.00","        419.00","        419.05","        422.44","    3559071","          1503490226.90","      50022","    1597658","         44.89"
"AMBUJACEM","EQ","05-Aug-2021","        419.05","        417.55","        421.60","        414.70","        418.80","        418.90","        418.17","    2472169","          1033785571.75","      28548","    1210464","         48.96"
"AMBUJACEM","EQ","06-Aug-2021","        418.90","        419.00","        419.00","        402.30","        404.00","        403.90","        407.22","    5940472","          2419103019.60","      77381","    2978665","         50.14"
"AMBUJACEM","EQ","09-Aug-2021","        403.90","        407.85","        409.95","        403.00","        405.65","        405.45","        406.04","    1861592","           755886283.60","      30894","     541997","         29.11"
"AMBUJACEM","EQ","10-Aug-2021","        405.45","        407.15","        407.20","        395.30","        400.15","        400.70","        400.81","    3317325","          1329610549.70","      27096","    1858443","         56.02"
"AMBUJACEM","EQ","11-Aug-2021","        400.70","        399.90","        405.00","        391.80","        398.50","        398.25","        395.97","    3337019","          1321368642.35","      40553","    1677380","         50.27"
"AMBUJACEM","EQ","12-Aug-2021","        398.25","        400.30","        408.00","        395.45","        400.40","        399.80","        401.10","    4066743","          1631153526.95","      55739","    1227817","         30.19"
"AMBUJACEM","EQ","13-Aug-2021","        399.80","        401.50","        404.95","        396.20","        401.05","        402.45","        401.12","    2351561","           943269346.30","      33992","     901040","         38.32"
